indice,pmos,nmos,nodo,saida,corrente,LETth
300.0,0.1966,0.3496,g1,g1,112.5,56547619.047619045
301.0,0.379,-0.7522,g1,g1,112.5,56547619.047619045
302.0,1.0705,1.4046,g1,g1,131.25,65972222.222222224
303.0,-1.133,0.6677,g1,g1,75.0,37698412.6984127
304.0,-0.2268,-0.02268,g1,g1,100.0,50264550.26455026
305.0,0.1738,1.3159,g1,g1,109.375,54976851.85185184
306.0,-0.6703,1.2931,g1,g1,87.5,43981481.48148148
307.0,0.8994,-1.307,g1,g1,125.0,62830687.830687836
308.0,1.095,-0.2668,g1,g1,131.25,65972222.222222224
309.0,1.1969,-0.3012,g1,g1,134.375,67542989.41798942
310.0,-0.3077,0.6717,g1,g1,96.875,48693783.06878307
311.0,0.5143,0.8009,g1,g1,118.75,59689153.43915344
312.0,1.1537,-0.7955,g1,g1,131.25,65972222.222222224
313.0,-1.772,-0.17,g1,g1,56.25,28273809.523809522
314.0,-0.5665,-2.7327,g1,g1,87.5,43981481.48148148
315.0,0.565,0.2035,g1,g1,118.75,59689153.43915344
316.0,1.0744,-0.1509,g1,g1,131.25,65972222.222222224
317.0,-1.1479,-0.07729,g1,g1,75.0,37698412.6984127
318.0,-0.0554,1.8107,g1,g1,103.125,51835317.460317455
319.0,0.5866,1.5601,g1,g1,118.75,59689153.43915344
320.0,0.8449,-0.7793,g1,g1,125.0,62830687.830687836
321.0,-0.5466,0.001034,g1,g1,90.625,45552248.67724867
322.0,0.1626,0.7046,g1,g1,109.375,54976851.85185184
323.0,0.8145,-0.5876,g1,g1,125.0,62830687.830687836
324.0,-0.8437,-0.9306,g1,g1,81.25,40839947.08994709
325.0,0.2538,0.3613,g1,g1,112.5,56547619.047619045
326.0,-0.09744,-1.4518,g1,g1,103.125,51835317.460317455
327.0,1.8211,-1.0285,g1,g1,150.0,75396825.3968254
328.0,-1.048,-0.4592,g1,g1,76.5625,38483796.2962963
329.0,-1.5434,0.9558,g1,g1,62.5,31415343.915343918
330.0,-0.3966,-0.8671,g1,g1,93.75,47123015.87301587
331.0,-1.1395,0.5981,g1,g1,75.0,37698412.6984127
332.0,-1.2118,-0.1502,g1,g1,71.875,36127645.50264551
333.0,-1.7197,0.8186,g1,g1,57.8125,29059193.12169312
334.0,1.9437,-0.666,g1,g1,150.0,75396825.3968254
335.0,1.2645,-0.9998,g1,g1,137.5,69113756.61375661
336.0,0.6534,-0.5158,g1,g1,121.875,61259920.63492063
337.0,0.8314,-1.491,g1,g1,125.0,62830687.830687836
338.0,-0.6822,0.3143,g1,g1,87.5,43981481.48148148
339.0,1.1552,-0.8768,g1,g1,131.25,65972222.222222224
340.0,-2.3636,-0.2389,g1,g1,42.1875,21205357.142857138
341.0,0.6429,-0.278,g1,g1,121.875,61259920.63492063
342.0,-1.6528,-0.03372,g1,g1,59.375,29844576.71957672
343.0,-0.4958,1.6926,g1,g1,93.75,47123015.87301587
344.0,-1.6459,-1.5628,g1,g1,59.375,29844576.71957672
345.0,-0.6074,-0.7946,g1,g1,87.5,43981481.48148148
346.0,0.2733,0.6322,g1,g1,112.5,56547619.047619045
347.0,0.9331,-0.8568,g1,g1,128.125,64401455.02645502
348.0,-0.215,0.5019,g1,g1,100.0,50264550.26455026
349.0,-0.503,2.344,g1,g1,93.75,47123015.87301587
350.0,0.401,1.2635,g1,g1,115.625,58118386.24338624
351.0,1.212,0.2762,g1,g1,134.375,67542989.41798942
352.0,0.0156,-0.2057,g1,g1,106.25,53406084.65608465
353.0,1.0684,0.1897,g1,g1,131.25,65972222.222222224
354.0,-0.4897,0.7257,g1,g1,93.75,47123015.87301587
355.0,-0.343,-0.3903,g1,g1,93.75,47123015.87301587
356.0,0.7762,-0.03539,g1,g1,125.0,62830687.830687836
357.0,0.006192,-1.1387,g1,g1,106.25,53406084.65608465
358.0,-0.866,0.2071,g1,g1,81.25,40839947.08994709
359.0,-1.2242,-1.8954,g1,g1,71.875,36127645.50264551
360.0,0.7639,0.5793,g1,g1,125.0,62830687.830687836
361.0,0.4629,1.2505,g1,g1,118.75,59689153.43915344
362.0,-0.5583,0.8505,g1,g1,90.625,45552248.67724867
363.0,0.9312,-0.8293,g1,g1,128.125,64401455.02645502
364.0,0.7026,0.4903,g1,g1,125.0,62830687.830687836
365.0,-0.1524,0.7109,g1,g1,100.0,50264550.26455026
366.0,-0.05341,0.8872,g1,g1,103.125,51835317.460317455
367.0,-0.3624,0.5547,g1,g1,93.75,47123015.87301587
368.0,-0.005209,0.9428,g1,g1,106.25,53406084.65608465
369.0,0.6009,-0.7074,g1,g1,118.75,59689153.43915344
370.0,-0.2128,-0.5182,g1,g1,100.0,50264550.26455026
371.0,0.1085,1.8437,g1,g1,106.25,53406084.65608465
